dyad,F0_MAX_synchrony,F0_MAX_convergence,F0_MAX_proximity,F0_MIN_synchrony,F0_MIN_convergence,F0_MIN_proximity,F0_MEAN_synchrony,F0_MEAN_convergence,F0_MEAN_proximity,F0_MEDIAN_synchrony,F0_MEDIAN_convergence,F0_MEDIAN_proximity,F0_STDV_synchrony,F0_STDV_convergence,F0_STDV_proximity,F0_MAS_synchrony,F0_MAS_convergence,F0_MAS_proximity,ENG_MAX_synchrony,ENG_MAX_convergence,ENG_MAX_proximity,ENG_MIN_synchrony,ENG_MIN_convergence,ENG_MIN_proximity,ENG_MEAN_synchrony,ENG_MEAN_convergence,ENG_MEAN_proximity,ENG_STDV_synchrony,ENG_STDV_convergence,ENG_STDV_proximity,VCD2TOT_FRAMES_synchrony,VCD2TOT_FRAMES_convergence,VCD2TOT_FRAMES_proximity,speech_rate_synchrony,speech_rate_convergence,speech_rate_proximity
34,0.1065408581068298,-0.05195776652661198,-43.93281382241963,-0.2659065357308655,0.43756886947921614,-35.72859901928007,0.30199171938527747,-0.08209120195607622,-49.97707877601057,-0.3836628635315035,-0.4207031244341951,-45.820249478594505,-0.6233565745247301,-0.6208139795806449,-8.725063566360456,0.6944261498570048,-0.5366555091645192,-108.65368691789658,0.17711746436474818,-0.25938851395365475,-0.8842539576401123,0.25512564483251055,-0.13003373642699165,-9.976258075814748,-0.3950101216578612,0.4193570398162199,-3.1935853645593113,0.3766034020805039,0.19601039394791242,-4.291340020060179,0.1558880188750439,0.23115224314393276,-0.2189633981309005,-0.6266495746569438,-0.4497033953281491,-0.9816762606745097
35,-0.621210254606919,-0.37921285036302704,-12.868441876147017,-0.479094864669712,-0.1616297483560711,-12.388578148363138,-0.7679846468553366,-0.5464915371085323,-6.809018247811338,-0.7309273613451739,-0.42574476366037006,-4.874026926076425,-0.48948806692703795,-0.4373171331846416,-3.1848352947385195,-0.5132460287841529,-0.15356961230133134,-36.42626595364163,-0.8026003190807952,-0.21693660059319453,-0.28935382693897793,-0.5382907356023005,0.42660571849995255,-14.574809529673225,-0.6850416120919316,0.5371423483477209,-5.357506998317113,-0.44753902294974784,0.09571256631005955,-6.640188951630396,-0.6221151005227774,0.7293663205331788,-0.025472455304003216,0.8317330532019638,0.511749667309295,-0.24415081111200898
164,-0.18838765940244256,-0.21503361202750196,-0.5523522803852643,-0.40911548663010744,0.2841187213134084,-21.61061638829274,0.0364496583905874,-0.6298817872428785,-21.568060677221013,0.16140128544706098,-0.6471412899130295,-16.155399417332802,-0.48100366389566285,-0.042823024390131,-0.45002411018838373,-0.7678544643918835,0.46677065684235614,-92.07362001700318,-0.5868843302659775,-0.0409651500145301,-0.2280730822265724,-0.4796696925496028,-0.10466787105657485,-2.7174866515297573,-0.86332727345024,-0.7813533430006842,-2.686206971270984,-0.8844036579817537,-0.37153510577390186,-1.4136320695053541,-0.8416636751820028,-0.6071776967238928,-0.05234053891532675,-0.8171271384979897,0.35516845872664315,-1.7011044143535026
37,0.47338776998418747,0.4460058821148726,-38.17762793418467,0.49105070586508726,-0.008450453734795773,-24.6713194682996,0.6822342460611358,0.0168913526663974,-19.83090214820899,0.5185540503513922,-0.16821900271125032,-25.487955890772383,0.6573958286155169,0.39771593135450517,-6.463792754669377,0.7824192029565251,-0.1290365613329986,-41.61001108538909,0.4528200459401117,-0.37399140278294507,-3.2809905658028953,-0.5934560455338221,0.014350653087318031,-11.387231133680167,0.26618179071803,0.10000799067313536,-1.7323128718293361,-0.335434974741666,0.21312827602795562,-5.247867904645739,0.5157892719542774,0.4155841667117826,-0.15386160688356187,0.2549912890980728,0.5137586360101791,-1.1736036864171862
165,0.29009890082656814,-0.7672705711107825,-85.37460192253616,-0.46623355477262846,-0.6837605650847759,-50.56267730865767,0.6108884249622891,-0.5759581033556498,-71.7481197054749,0.6233635621775329,-0.4938880436788927,-73.98111590414398,0.6521880167581537,-0.35598198433401745,-5.968617127860114,0.12058670673502829,-0.04731842547478172,-104.68685286245429,0.6490975741448322,0.2529525120325472,-5.956770613107835,0.6393794781705495,-0.014915821925115405,-13.516411054062225,-0.45476061040327537,0.2542992014550225,-9.828092059904826,0.5323590143597613,-0.10138174152562585,-2.4088246753246727,0.1647508332489619,-0.20855235424779503,-0.0002091044480778681,0.5668740325256972,-0.006975599459026519,-4.456267586409492
39,-0.5174018078034094,0.023398509823533784,-154.87588567460313,-0.10069804830116588,-0.06717426489838849,-70.4692557043651,0.606081851809432,-0.1954727155730629,-113.15262155257938,0.46857928004402505,0.11886089470842207,-111.6203683085317,-0.30308579770074645,0.03054810005692153,-11.759401879960322,0.506096928608934,0.16751091953519265,-225.13748389880953,-0.5960860978872575,-0.2816595544385562,-1.017223640873027,-0.15791894829578346,-0.46140180738926906,-12.299013720238086,0.2485656203692321,0.29721881441334186,-6.477256453373002,-0.15437203364971985,-0.47443827301352604,-4.7176684375,-0.3016148047323276,-0.3667202941217506,-0.05719543154761908,-0.15752752420997232,-0.16146988413654637,-0.8046235413881622
166,0.34127009767065214,-0.10769167206172267,-42.40946508254177,0.6999399892714573,0.16922776560166408,-4.471229105117686,0.5409444580210614,-0.2871804925446379,-12.288883086078556,0.450790998077127,-0.2981655646569082,-9.644885950422008,-0.20877162225706214,-0.4300709530325375,-3.7600997331554424,0.2821634410889731,-0.19249274890644985,-22.02836880142314,0.7082538768692725,-0.42017464621254685,-2.0517613276576014,0.3310414251716713,0.5126949914721083,-12.253419343054105,-0.5452421254731464,0.08354129827497736,-1.6726372767029787,0.31983591811653955,0.45237473308704645,-3.758044161716274,-0.2632252762050219,-0.3625405442434706,-0.011753555280239913,-0.35960506569187484,0.09826562146880152,-0.8072998006924212
41,0.6270409382916297,0.6035670302478952,-99.50590941587882,0.5011779667797686,0.34489338439156747,-89.2249646729698,0.5584832649111775,0.4952059117397061,-101.98295651340503,0.3002174551191407,0.789897596965773,-103.85992327936793,0.7529491333394965,0.7834167469120402,-8.783234808962572,0.26463333952250573,0.4714538461774192,-205.01729673358375,0.3229843417107784,0.41070193388803944,-0.5273643621292621,-0.2605939824761556,-0.6047354216585001,-13.186245330915686,-0.7275069578584797,-0.3965047905172743,-3.2666733480119206,-0.41593557490978184,-0.6021464730037266,-3.562347286620902,0.5616492254511322,-0.4889596510122426,-0.11759050382074876,0.24502214784314108,0.7842911812740689,-1.7109968209481075
42,-0.5529404404107212,-0.17989229728014164,-16.140307847401544,-0.634540717548389,0.36150133533117773,-12.40046154833641,0.23085222418914997,-0.1007896633326987,-30.621101641671572,0.3508065224355821,-0.7672186469393402,-24.85868770483134,-0.18842709296320298,0.7332919111117059,-10.080745971334935,0.12329109578402146,0.9295589475782651,-242.5063205639376,-0.7430160107933281,0.823664071039909,-10.220699907873069,0.6894721950778306,-0.5285431645513868,-13.72225140078233,-0.897030147749076,0.8283073321517903,-13.000705088124683,0.33800509028332754,-0.6495406713622541,-4.138521287360487,-0.32257704134148435,0.9079467715049847,-0.3515947548064578,-0.7447512828282554,0.78097897796243,-3.821115254389749
167,-0.5616827907528092,-0.3874867541472357,-103.91835605894244,0.2973962054422335,-0.27321531300981666,-26.519539372849778,-0.230884102038587,-0.2730132797358477,-66.94912407867255,0.3716078744779512,-0.3055305087438667,-68.68008740012502,0.3517152394938416,0.40711973919979466,-17.57917215943963,-0.701318353527186,0.014423739015952735,-170.48839143679226,0.5410754230644078,0.21751512499720868,-2.0706103087326966,0.2103275504160572,0.5770269962898248,-3.86955088205319,0.21446297354889254,0.5706692951302346,-3.2027085198511003,-0.18401560270089792,0.6398059559796111,-2.575580679853825,0.33296184828295344,0.3870446151693168,-0.02161776381357794,0.5754554835788632,0.31456020607879215,-0.9810363650398681
